subject,predicate,object
New company owner,seeks_guidance_on,using MyCareersFuture Employers Portal to create job postings
Customer,reports,payment not reflected in the system
Customer,requests,a check on payment status
Phone appointment,original_date,Oct-31
Customer,requested_to_reschedule,phone appointment
Phone appointment,rescheduled_date,Nov-30
Customer,asks_if,additional fees apply for bank transfer payments
Customer,inquired_about_payment_method,Skills Development Levy via AXS machine
Course creator,cannot_edit_session,due to system limitations
Course creator,mistakenly_set_session_duration,8 hours instead of 4
Course creator,requests_assistance_for,error message when submitting the run
Requester,inquires_about_procedure_for,issuing balance funding post-government disbursement
Requester,requests_confirmation_on,acceptability of the invoice format for SkillsFuture Credit claims
Customer,confirms_payment_of,outstanding Skills Development Levy
Cheque,drawn_from,customer account
Payment method,is,cheque
Cancellation,performed_by,SkillsFuture
Company,requesting_review_of,the process
Company,was_not_given_opportunity_to,declare staff details before cancellation
Company's Absentee Payroll disbursement,was_rejected_due_to,undeclared staff details
Communication,includes_reminder_of,confidentiality and legal implications of unauthorized information sharing
Payment,status,received
Customer,has_not_received,any acknowledgement or reply
Customer,submitted,Notice of Objection for the Skills Development Levy for 2022
Training administrator,has_restricted_access_to,exact salary information
Training administrator,inquires_about,acceptability of salary range for Absentee Payroll declaration
Training administrator,needs,urgent response
HR,restricts_access_to,exact salary information
Incorrect 'no vacancy' notice,may_deter,applicants
Customer,requests_update_on,SkillsFuture website
Update request,to_remove,incorrect 'no vacancy' notice for a course application page
Previous feedback,was_unresolved,regarding incorrect 'no vacancy' notice
Absentee Payroll funding claim status,affects,multiple employees across different Training Grant Systems
Absentee Payroll funding claim,is_near,submission deadline
Customer,reports,Absentee Payroll funding claim pending eligibility check
Customer,inquires_about,accidental job postings on MyCareersFuture
Customer,inquires_about_cancellation_of,accidental job postings
Customer,inquires_about_public_visibility_of,closed postings
Customer,inquires_about_reposting_options_for,accidental job postings
Customer,inquired_about_applying_for,SGUnited Mid-Career Pathways Programme
Customer,inquires_about,consequences of late payment for Skills Development Levy
Customer,inquires_about_possibility_of,providing outstanding levy for 2023
Customer,mentions,biannual payment habit
Manual attendance upload issue,occurs_for,four students on 19 Oct 2023
Issue,related_to,specific course run
Requester,requests_assistance_for,manual attendance upload issue
Customer,inquires_about,Skills Development Levy liability for foreigners
Customer,inquires_how_to,make payments if liable
Course run session,accessed_through,Training Provider Gateway
Appeal,involves_follow-up,attachment provided
Course run session,on_behalf_of,Temasek Polytechnic
Appeal,to_edit,training mode for a course run session
Customer,experiences,persistent loading issues when using the search option
Search option,located_on,government website
Customer,questions,user-friendliness and efficiency of online services
Customer,inquires_about,courses related to leadership and people management skills
Reminder letter,received_after,payment made
Customer,requests_contact_for,proof if needed
Customer,requests_verification_of,payment
Customer,confirms_payment_of,Skills Development Levy 2023 via PayNow
Customer,requests_verification_using,provided reference number
Customer,is_concerned_about,potential scams
Customer,receives,repeated survey reminders
Customer,seeks,assurance of legitimacy
Customer,requests,confirmation of receipt
Company,received,reminder notice
Company,requests_contact_for,submitting payment proof
Company,seeks_confirmation_method_for,submitting payment proof
Seniors without mobile apps,experience_difficulties_with,passcodes
Customer,suggests,training companies should accept old Singpass passwords instead of passcodes
Old Singpass passwords,used_for,accessing training
Customer,finds,the information easy to understand
Customer,inquires_about_accessing,courses with a focus on safety
Customer,inquired_about_purpose_of,Notice of Assessment
Notice of Assessment,related_to,outstanding Skills Development Levy amount
Discrepancy,compared_to,HR payroll software records
HR payroll software records,includes_calculations_for,both CPF and SDL
Customer,queries_discrepancy_in,Skills Development Levy figures on Notice of Assessment
Job posting access,for_use_on,MyCareersFuture website
Customer,has_role,CorpPass Admin
Customer,requests_assistance_to,assign another employee access for job posting
Customer,confirms_receipt_of,Skills Development Levy 2023 reminder letter
Customer,has_made,the payment
Customer,inquiring_about,using husband's SkillsFuture Credits
Customer,inquired_about,father's eligibility for Workfare Skills Support scheme
Customer,inquired_about,funding conditions for Workfare Skills Support scheme
Payment details,include,reference number
Reminder letter,indicates,payment not received
Customer,inquires_about,payment receipt for the Skills Development Levy by SkillsFuture Singapore
Employee from SHIMADZU (ASIA PACIFIC) PTE LTD,has_issue_related_to,SkillsFuture Singapore EMP
Customer,claims_payment_for,Skills Development Levy
Customer,received_reminder_for,unpaid Skills Development Levy
Customer,requests_confirmation_of,payment
Customer,requests_system_check_for,preventing future discrepancies
Reminder,issued_for,Skills Development Levy payment for the year 2023
Reminder,references,previous case ID
Customer,confirmed_payment_made_for,Skills Development Levy for YA2023
Payment,lacks,transaction reference number
Customer,inquires_reason_for,receiving reminder for the Skills Development Levy
Customer,made_payment_by,cheque
Customer,requests_confirmation_of_payment_receipt,by SkillsFuture Singapore
Customer,confirmed_payment_made_via,bank transfer
Customer,made_payment_for,Skills Development Levy YA2023
Payment,made_via,UOB Bank transfer
Customer,reports_receiving,reminder letter for the Skills Development Levy YA2023
Reminder,received_despite,payment made
Customer,received_reminder_for,outstanding payment
Company address update,depends_on,ACRA and IRAS records
Customer,inquires_about,updating company address in SkillsFuture Singapore
Customer,mentions,discrepancies between ACRA and IRAS records
Customer,inquired_about,making a PayNow payment
PayNow payment,to_be_made_to,SkillsFuture Singapore
Funding,approved_for,only one out of five Singaporean workers for a course at Eversafe
Inquiry,concerns,reason for rejection of the others
Client,asserts,timely and correct payments
Client,disputes,outstanding Skills Development Levy notification
Client,requests_breakdown_of,alleged outstanding amount by employees and months
Customer,inquired_about,application process for Career Trial
Customer,received,invitation from the company
Customer,inquires_about,"breakdown of disbursements totaling $11,400"
Details,not_found_on,Training Provider Gateway
Customer,suspects,disbursements pertain to specific course runs
Customer,seeks,confirmation of receipt
Customer,submitted,Notice of Objection for Skills Development Levy
Customer,has_role,both attendee and employer
Customer,queries_about,minimum pay declaration for self-employed cases
Customer,seeks_guidance_on,setting up an Enterprise Jobs and Skills Portal account
Customer,has_paid,levy via bank transfer
Customer,questions_receiving,Skills Development Levy reminder
Employer,inquired_about,purpose of the letter
Employer,received,Notice of Assessment for an outstanding Skills Development Levy payment
Course,approved_for,In-house and External Training
Customer,inquires_about,sister company sending employees to course
Inquiry,lacks,course reference
