object,case_number
PayNow,9997117
payment receipt confirmation,9997117
payment reminder letter,9997117
Skills Development Levy payment for Jan-Dec 2022,9997119
payment reminder,9997119
PayNow,9997119
previous Workfare Skills Support case,9997125
use spouse's SkillsFuture Credits,9997126
amount of SkillsFuture Credit received upon becoming a Singapore Citizen,9997126
Sally,9997130
the issue,9997130
SkillsFuture Singapore EMP,9997130
taking leave for childbirth on Training Allowance,9997134
edits to the salary in a job posting,9997136
applying for SPass,9997136
MyCareersFuture,9997136
receiving a reminder for the Skills Development Levy after payment,9997141
making contributions for foreign workers,9997141
Facebook,9997146
"course titled ""Support Service to Seniors""",9997146
Skills Development Levy,9997149
bank transfer,9997149
reminder letter for outstanding Skills Development Levy,9997149
creating a job posting on MyCareersFuture platform,9997167
October 31 to November 3,9997168
Careers Connect On-The-Go event,9997168
Teck Whye Shopping Centre,9997168
outstanding payment of Skills Development Levy 2023,9997174
reference to the attached document for verification,9997174
Workfare Skills Support,9997175
Support Service to Seniors course,9997175
in-charge for clarification,9997178
response or guidance on resubmission,9997178
wrong file for Skills Development Levy objection,9997178
missed the original assessment,9997180
timeline for a make-up assessment,9997180
cheque on the specified date,9997183
payment of Skills Development Levy for YA2023,9997183
payment issues,9997185
UEN,9997185
Skills Development Levy,9997185
bank transfer,9997185
earlier,9997187
Skills Development Levy reminder letter,9997187
why reminder was sent,9997187
outstanding payment,9997192
Skills Development Levy,9997192
verify payment status,9997192
bank transfer,9997195
outstanding payment,9997195
Skills Development Levy,9997195
authorized CorpPass representative,9997196
assigning himself as authorized,9997196
payment proof for Skills Development Levy,9997196
payroll records,9997205
Notice of Assessment,9997205
Skills Development Levy outstanding amount,9997205
bank transfer in October 2023,9997217
outstanding Skills Development Levy for 2022,9997217
Skills Development Levy,9997218
reminder letter,9997218
payment receipt,9997218
records,9997218
QQ Mail,9997219
holiday,9997219
returning,9997219
their payroll amount is correct,9997226
sending a Notice of Objection for the Skills Development Levy,9997226
SkillsFuture Singapore,9997230
payment methods and address,9997230
outstanding Skills Development Levy,9997230
payment,9997231
reminder for the Skills Development Levy,9997231
SkillsFuture Singapore verify payments before sending reminders,9997231
enrolling trainees,9997236
courses,9997236
Training Partners Gateway,9997236
Skills Development Levy payment,9997266
refunding overpayments made in previous months,9997266
outstanding Skills Development Levy,9997267
payment receipt status for Skills Development Levy,9997267
16-Oct-23,9997267
recent letter,9997267
companies sending their employees,9997275
participation requirement in the Career Conversion Programme,9997275
Absentee Payroll claim rejection,9997279
resolved,9997279
meeting all criteria,9997279
AM session on 1 November 2023,9997280
QR code generation attempt,9997280
QR code for Singpass e-attendance,9997280
Microsoft Edge and Chrome,9997280
bank transfer,9997281
payment of Skills Development Levy for YA2023,9997281
rescheduling an appointment with a Career Coach,9997282
Workforce Singapore's No Wrong Door policy,9997282
pending case,9997287
more than 10 days,9997287
sharing the URL link from MyCareersFuture portal,9997288
others,9997288
MyCareersFuture portal,9997288
Career Conversion Programme,9997302
Processing Officer and Access Manager,9997302
access roles for Programme Partners,9997302
Notice of Assessment,9997303
Skills Development Levy via Paynow,9997303
payment reminder for the Skills Development Levy,9997303
if Notice of Objection was received successfully,9997308
reminder for 2022 dues,9997308
Notice of Objection for Skills Development Levy 2023,9997308
an appeal for grants via the Training Provider Gateway,9997311
previous case,9997311
the HAR File,9997311
floating case,9997313
2-minute,9997313
linking husband's food hygiene certificate from LTVP to PR status,9997314
FIN number,9997314
LTVP status to PR status,9997314
application process for the Career Conversion Programme in the Food Sector,9997316
computation is incorrect,9997317
EZPay,9997317
Notice of Assessment,9997317
Notice of Assessment for the Skills Development Levy YA2023,9997317
Skills Development Levy,9997323
outstanding payment letter,9997323
no response after opting for a callback,9997323
Overall in charge from the Audit and Enforcement Division,9997333
pending case with Training Provider Gateway,9997336
expedited update,9997336
October,9997336
codes need to be submitted with the transcript,9997347
necessary documents for Career Conversion Programme application,9997347
bank transfer in October 2023,9997352
bank transfer in October 2023,10000512
outstanding Skills Development Levy for 2022,9997352
outstanding Skills Development Levy for 2022,10000512
uploading payment proof,9997355
but failed to include case reference ID in payment remarks,9997355
Skills Development Levy payment reminder,9997355
Skills Development Levy,9997358
outstanding payment,9997358
payment status,9997358
Customer email,9997358
last trainee from scanning E-Attendance via Singpass,9997360
last trainee from scanning E-Attendance via Singpass,9997375
last trainee from scanning E-Attendance via Singpass,9997436
no QR code generated for E-Attendance,9997360
no QR code generated for E-Attendance,9997375
no QR code generated for E-Attendance,9997436
Mandarin language,9997363
confirming receipt of payment by SkillsFuture Singapore,9997367
confirming receipt of payment by SkillsFuture Singapore,9997583
confirming receipt of payment by SkillsFuture Singapore,9998975
despite receiving Notice of Assessment reminder,9997367
despite receiving Notice of Assessment reminder,9997583
despite receiving Notice of Assessment reminder,9998975
Notice of Assessment reminder despite making payment,9997367
Notice of Assessment reminder despite making payment,9997583
Notice of Assessment reminder despite making payment,9998975
Notice of Assessment reminder,9997367
Notice of Assessment reminder,9997583
Notice of Assessment reminder,9998975
PayNow/Bank Transfer,9997367
PayNow/Bank Transfer,9997583
PayNow/Bank Transfer,9998975
Notice of Assessment reminder,9997376
having paid,9997376
payment verification methods,9997376
payment receipt by SkillsFuture Singapore,9997376
three greeting attempts,9997377
three greeting attempts,9998089
three greeting attempts,9998420
three greeting attempts,9998977
three greeting attempts,9999089
Customer Service Officer,9997377
Customer Service Officer,9998089
Customer Service Officer,9998420
Customer Service Officer,9998977
Customer Service Officer,9999089
outstanding Skills Development Levy for 2022,9997384
outstanding Skills Development Levy for 2022,10013687
breakdown for employee payments,9997384
breakdown for employee payments,10013687
correct payments,9997384
correct payments,10013687
QR code for attendance due to an error,9997387
uploading attendance post session time,9997387
Skills Development Levy for YA2023,9997388
Skills Development Levy for YA2023,9997936
bank transfer,9997388
bank transfer,9997936
via bank transfer,9997388
via bank transfer,9997936
reminder to pay the Skills Development Levy for YA2023,9997388
reminder to pay the Skills Development Levy for YA2023,9997936
payment of Skills Development Levy for YA2023,9997388
payment of Skills Development Levy for YA2023,9997936
paid,9997388
paid,9997936
payment was made,9997391
reminder for Skills Development Levy payment,9997391
Skills Development Levy payment,9997391
derived amount from SkillsFuture Singapore,9997391
Enhanced Training Support under SkillsFuture,9997413
Doctor Anywhere as an SME in Singapore,9997413
